Chemin, Paquet, Classe, TLOC, TASSERT, tcmp
./jfreechart-master/src/test/java/org/jfree/chart/StandardChartThemeTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/StandardChartThemeTest, 160, 61, 2.62
./jfreechart-master/src/test/java/org/jfree/chart/legend/LegendGraphicTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/legend/LegendGraphicTest, 127, 41, 3.10
./jfreechart-master/src/test/java/org/jfree/chart/legend/LegendTitleTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/legend/LegendTitleTest, 84, 22, 3.82
./jfreechart-master/src/test/java/org/jfree/chart/legend/PaintScaleLegendTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/legend/PaintScaleLegendTest, 94, 28, 3.36
./jfreechart-master/src/test/java/org/jfree/chart/ChartRenderingInfoTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/ChartRenderingInfoTest, 65, 16, 4.06
./jfreechart-master/src/test/java/org/jfree/chart/imagemap/DynamicDriveToolTipTagFragmentGeneratorTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/imagemap/DynamicDriveToolTipTagFragmentGeneratorTest, 16, 1, 16.00
./jfreechart-master/src/test/java/org/jfree/chart/imagemap/StandardURLTagFragmentGeneratorTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/imagemap/StandardURLTagFragmentGeneratorTest, 15, 1, 15.00
./jfreechart-master/src/test/java/org/jfree/chart/imagemap/ImageMapUtilsTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/imagemap/ImageMapUtilsTest, 59, 17, 3.47
./jfreechart-master/src/test/java/org/jfree/chart/imagemap/OverLIBToolTipTagFragmentGeneratorTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/imagemap/OverLIBToolTipTagFragmentGeneratorTest, 16, 1, 16.00
./jfreechart-master/src/test/java/org/jfree/chart/renderer/RendererUtilsTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/renderer/RendererUtilsTest, 233, 115, 2.03
./jfreechart-master/src/test/java/org/jfree/chart/renderer/category/GanttRendererTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/renderer/category/GanttRendererTest, 67, 16, 4.19
